source,species,lon,lat
eBird,Amazilia boucardi,-83.59937,8.77016
eBird,Amazilia boucardi,-83.60055,8.78737
eBird,Amazilia boucardi,-83.4745,8.69278
eBird,Amazilia boucardi,-84.6184158,9.7829904
eBird,Amazilia boucardi,-83.33523,8.71942
eBird,Amazilia boucardi,-83.2922716,8.5370221
eBird,Amazilia boucardi,-83.14157,8.55437
eBird,Amazilia boucardi,-83.15347,8.58173
eBird,Amazilia boucardi,-83.58492,8.79356
eBird,Amazilia boucardi,-83.47516,8.68936
eBird,Amazilia boucardi,-83.18642,8.61512
eBird,Amazilia boucardi,-84.5825386,9.8145805
eBird,Amazilia boucardi,-84.31994,9.49024
eBird,Amazilia boucardi,-84.63152,9.78666
eBird,Amazilia boucardi,-83.2887654,8.400766
eBird,Amazilia boucardi,-83.5228729,8.8620051
eBird,Amazilia boucardi,-83.3592528,8.5756532
eBird,Amazilia boucardi,-83.6457664,9.0791803
eBird,Amazilia boucardi,-83.6238098,8.7793948
eBird,Amazilia boucardi,-84.6298776,9.78266
eBird,Amazilia boucardi,-83.2937672,8.3786761
eBird,Amazilia boucardi,-84.6269689,9.75549
eBird,Amazilia boucardi,-84.629599,9.773031
eBird,Amazilia boucardi,-84.628134,9.6269753
eBird,Amazilia boucardi,-83.359099,8.575209
eBird,Amazilia boucardi,-83.4694,8.87816
eBird,Amazilia boucardi,-83.3219303,8.5246158
eBird,Amazilia boucardi,-83.471007,8.690931
eBird,Amazilia boucardi,-83.281517,8.3971488
eBird,Amazilia boucardi,-83.2821035,8.4126694
eBird,Amazilia boucardi,-83.345139,8.5720576
eBird,Amazilia boucardi,-84.6325,9.7872
eBird,Amazilia boucardi,-84.2966998,9.4815869
eBird,Amazilia boucardi,-85.838119,10.2328562
eBird,Amazilia boucardi,-83.2950783,8.5456062
eBird,Amazilia boucardi,-85.318965,10.322772
eBird,Amazilia boucardi,-83.4542628,8.7191132
eBird,Amazilia boucardi,-84.9007988,10.0259489
eBird,Amazilia boucardi,-83.484267,8.6997665
eBird,Amazilia boucardi,-85.8373747,10.3196819
eBird,Amazilia boucardi,-85.6906128,10.5418211
eBird,Amazilia boucardi,-84.6264613,9.7796219
eBird,Amazilia boucardi,-83.6222992,9.0215024
eBird,Amazilia boucardi,-83.466667,8.8659886
eBird,Amazilia boucardi,-84.6794415,9.6528771
eBird,Amazilia boucardi,-83.3014011,8.5356891
eBird,Amazilia boucardi,-84.611,9.808
eBird,Amazilia boucardi,-84.9652576,10.0678258
eBird,Amazilia boucardi,-84.15875,9.39652
eBird,Amazilia boucardi,-85.0520325,10.1372847
eBird,Amazilia boucardi,-83.5784912,8.8703257
eBird,Amazilia boucardi,-84.6251458,9.7671109
eBird,Amazilia boucardi,-83.478713,8.9110473
eBird,Amazilia boucardi,-85.8372545,10.3040259
eBird,Amazilia boucardi,-85.2535403,10.2545239
eBird,Amazilia boucardi,-83.55488,8.81057
eBird,Amazilia boucardi,-83.2979965,8.5358678
eBird,Amazilia boucardi,-83.994562,9.3378117
eBird,Amazilia boucardi,-83.4922314,8.5828544
eBird,Amazilia boucardi,-83.4226227,8.5450347
eBird,Amazilia boucardi,-83.4733018,8.8582892
eBird,Amazilia boucardi,-84.3230283,9.5020462
eBird,Amazilia boucardi,-85.01807,9.720096
eBird,Amazilia boucardi,-85.142326,10.162546
eBird,Amazilia boucardi,-84.591808,9.779945
eBird,Amazilia boucardi,-83.1687355,8.6310911
eBird,Amazilia boucardi,-83.2999057,8.5386327
eBird,Amazilia boucardi,-84.60357,9.80838
eBird,Amazilia boucardi,-85.8583045,10.3552962
eBird,Amazilia boucardi,-84.624145,9.7799187
eBird,Amazilia boucardi,-83.482554,8.693617
eBird,Amazilia boucardi,-85.8368254,10.2992968
eBird,Amazilia boucardi,-83.3564794,8.5499258
eBird,Amazilia boucardi,-83.6675406,9.0736196
eBird,Amazilia boucardi,-83.20348,8.70047
eBird,Amazilia boucardi,-85.3009415,9.8075185
eBird,Amazilia boucardi,-83.454895,8.6000316
eBird,Amazilia boucardi,-83.3603,8.5755
eBird,Amazilia boucardi,-84.5974731,9.7892495
eBird,Amazilia boucardi,-84.6937752,9.9245852
eBird,Amazilia boucardi,-84.7160482,9.9296241
eBird,Amazilia boucardi,-84.6976376,9.8634187
eBird,Amazilia boucardi,-83.3117606,8.5089647
eBird,Amazilia boucardi,-84.6333933,9.7851896
eBird,Amazilia boucardi,-84.713366,9.9229661
eBird,Amazilia boucardi,-84.9576606,10.0670356
eBird,Amazilia boucardi,-84.2751789,9.4823114
eBird,Amazilia boucardi,-85.2633154,9.7750396
eBird,Amazilia boucardi,-85.2767372,9.7909411
eBird,Amazilia boucardi,-84.16611,9.44722
eBird,Amazilia boucardi,-83.4069633,8.441533
eBird,Amazilia boucardi,-85.0152981,10.1224737
eBird,Amazilia boucardi,-85.0152134,10.1224626
eBird,Amazilia boucardi,-83.305729,8.671762
eBird,Amazilia boucardi,-84.1532135,9.3928389
eBird,Amazilia boucardi,-83.650515,9.076232
eBird,Amazilia boucardi,-83.3344942,8.4109835
eBird,Amazilia boucardi,-85.0508931,10.1470728
eBird,Amazilia boucardi,-83.2767963,8.659942
eBird,Amazilia boucardi,-84.7223071,9.9392012
eBird,Amazilia boucardi,-85.6719553,9.9677263
eBird,Amazilia boucardi,-85.6766685,10.5779408
eBird,Amazilia boucardi,-83.8470554,9.2383379
eBird,Amazilia boucardi,-83.87034,9.26106
eBird,Amazilia boucardi,-83.4753528,8.6886028
eBird,Amazilia boucardi,-84.7087097,9.9093327
eBird,Amazilia boucardi,-84.7147,9.9296611
eBird,Amazilia boucardi,-84.7146401,9.929455
eBird,Amazilia boucardi,-83.4620619,8.4488135
eBird,Amazilia boucardi,-84.71661,9.93021
eBird,Amazilia boucardi,-83.3063516,8.3874318
eBird,Amazilia boucardi,-84.6220851,9.7836826
eBird,Amazilia boucardi,-83.4415054,8.4427375
eBird,Amazilia boucardi,-83.5027671,8.8599698
eBird,Amazilia boucardi,-84.6308184,9.7884037
eBird,Amazilia boucardi,-84.5349884,9.5267765
eBird,Amazilia boucardi,-83.4631562,8.6850305
eBird,Amazilia boucardi,-84.0604949,9.3791205
eBird,Amazilia boucardi,-84.611197,9.808556
eBird,Amazilia boucardi,-83.72046,9.1354549
eBird,Amazilia boucardi,-84.9427378,10.0596917
eBird,Amazilia boucardi,-83.4761596,8.6681033
eBird,Amazilia boucardi,-84.6732616,9.8332907
eBird,Amazilia boucardi,-84.596268,9.842383
eBird,Amazilia boucardi,-84.7137737,9.9281669
eBird,Amazilia boucardi,-83.6400089,8.7750404
eBird,Amazilia boucardi,-85.8467817,10.2457257
eBird,Amazilia boucardi,-84.627517,9.7805308
eBird,Amazilia boucardi,-84.70894,9.87894
eBird,Amazilia boucardi,-84.90256,10.02947
eBird,Amazilia boucardi,-84.6204329,9.783161
eBird,Amazilia boucardi,-83.308027,8.543903
eBird,Amazilia boucardi,-83.4169579,8.4364604
eBird,Amazilia boucardi,-83.4563069,8.4420215
eBird,Amazilia boucardi,-84.7084844,9.9289343
eBird,Amazilia boucardi,-83.3029318,8.5398571
eBird,Amazilia boucardi,-84.626173,9.778762
eBird,Amazilia boucardi,-83.4624481,8.4465636
eBird,Amazilia boucardi,-83.2042474,8.6996316
eBird,Amazilia boucardi,-83.6207199,8.8209567
eBird,Amazilia boucardi,-84.7161555,9.9301525
eBird,Amazilia boucardi,-83.4848177,8.7017506
eBird,Amazilia boucardi,-83.4543312,8.4551877
eBird,Amazilia boucardi,-84.645187,9.800683
eBird,Amazilia boucardi,-84.4301462,9.5166145
eBird,Amazilia boucardi,-84.7040081,9.8739794
eBird,Amazilia boucardi,-83.624048,8.6909
eBird,Amazilia boucardi,-83.17966,8.65304
eBird,Amazilia boucardi,-84.66171,9.81997
eBird,Amazilia boucardi,-84.6379987,9.7849424
eBird,Amazilia boucardi,-84.702366,9.8731848
eBird,Amazilia boucardi,-84.6265697,9.7610405
eBird,Amazilia boucardi,-84.14363,9.38871
eBird,Amazilia boucardi,-85.0166917,9.7312642
eBird,Amazilia boucardi,-84.93157,10.04999
eBird,Amazilia boucardi,-84.9422979,10.0594508
eBird,Amazilia boucardi,-84.2182624,9.4842811
eBird,Amazilia boucardi,-85.01491,9.73312
eBird,Amazilia boucardi,-83.179636,8.6540527
eBird,Amazilia boucardi,-83.311363,8.534215
eBird,Amazilia boucardi,-84.6798277,9.8473938
eBird,Amazilia boucardi,-84.6367579,9.779704
eBird,Amazilia boucardi,-83.1768556,8.6334098
eBird,Amazilia boucardi,-84.642899,9.8523832
eBird,Amazilia boucardi,-83.47187,8.85998
eBird,Amazilia boucardi,-83.2950354,8.5233902
eBird,Amazilia boucardi,-83.9448166,9.3143
eBird,Amazilia boucardi,-83.7348747,8.6207595
eBird,Amazilia boucardi,-84.1669434,9.4469154
eBird,Amazilia boucardi,-84.1671221,9.4466806
eBird,Amazilia boucardi,-84.9209476,9.8601956
eBird,Amazilia boucardi,-83.393451,8.5447711
eBird,Amazilia boucardi,-83.4751081,8.7217729
eBird,Amazilia boucardi,-85.7925621,10.4363405
eBird,Amazilia boucardi,-85.06385,10.133189
eBird,Amazilia boucardi,-83.841632,9.233055
eBird,Amazilia boucardi,-85.834724,10.318457
eBird,Amazilia boucardi,-85.011692,9.746655
eBird,Amazilia boucardi,-85.091771,10.153997
eBird,Amazilia boucardi,-85.0765371,10.1558722
eBird,Amazilia boucardi,-85.0424733,10.1548431
eBird,Amazilia boucardi,-85.0404402,10.1383942
eBird,Amazilia boucardi,-84.664247,9.668385
eBird,Amazilia boucardi,-84.7058773,9.9319068
eBird,Amazilia boucardi,-84.159738,9.4078746
eBird,Amazilia boucardi,-84.637,9.787
eBird,Amazilia boucardi,-84.9274294,9.8282939
eBird,Amazilia boucardi,-83.4848499,8.7024505
eBird,Amazilia boucardi,-84.7106409,9.9848583
eBird,Amazilia boucardi,-83.3300972,8.6990031
eBird,Amazilia boucardi,-83.5902033,8.4793255
eBird,Amazilia boucardi,-83.4343815,8.4384981
eBird,Amazilia boucardi,-84.8952718,9.8290621
eBird,Amazilia boucardi,-84.2894268,9.4840695
eBird,Amazilia boucardi,-85.249089,10.2454304
eBird,Amazilia boucardi,-84.1939616,9.4634971
eBird,Amazilia boucardi,-85.8368366,10.3054965
eBird,Amazilia boucardi,-83.6618328,8.8103546
eBird,Amazilia boucardi,-85.8351632,10.3079614
eBird,Amazilia boucardi,-85.6991315,10.5515249
eBird,Amazilia boucardi,-83.9425421,9.3095886
eBird,Amazilia boucardi,-85.6492317,10.5946397
eBird,Amazilia boucardi,-83.5762144,8.5577286
eBird,Amazilia boucardi,-84.7417913,9.9810096
eBird,Amazilia boucardi,-84.9050568,10.037794
eBird,Amazilia boucardi,-84.9424157,10.0725327
eBird,Amazilia boucardi,-85.1075286,9.6097242
eBird,Amazilia boucardi,-83.3093604,8.5431601
eBird,Amazilia boucardi,-84.1464731,9.3881252
eBird,Amazilia boucardi,-84.645462,9.800459
eBird,Amazilia boucardi,-85.748342,10.5297954
eBird,Amazilia boucardi,-85.015254,9.6946745
eBird,Amazilia boucardi,-83.1860719,8.6564711
eBird,Amazilia boucardi,-85.3479767,10.3166082
eBird,Amazilia boucardi,-84.6448,9.800171
eBird,Amazilia boucardi,-83.3099038,8.5446694
eBird,Amazilia boucardi,-85.027824,9.723274
eBird,Amazilia boucardi,-84.606244,9.781187
eBird,Amazilia boucardi,-84.6453849,9.8013722
eBird,Amazilia boucardi,-85.7523894,10.5293478
eBird,Amazilia boucardi,-85.834642,10.319167
eBird,Amazilia boucardi,-84.629763,9.772245
eBird,Amazilia boucardi,-83.4728407,8.6901273
eBird,Amazilia boucardi,-84.9566048,10.0630088
eBird,Amazilia boucardi,-84.6456004,9.8009482
eBird,Amazilia boucardi,-83.329648,8.699947
eBird,Amazilia boucardi,-85.0466,10.1442
eBird,Amazilia boucardi,-84.583847,9.561393
eBird,Amazilia boucardi,-85.0784168,9.6160758
eBird,Amazilia boucardi,-83.4810162,8.6785213
eBird,Amazilia boucardi,-83.1840992,8.708644
eBird,Amazilia boucardi,-84.6315788,9.7829165
eBird,Amazilia boucardi,-85.3429467,10.3443583
eBird,Amazilia boucardi,-83.294759,8.531585
eBird,Amazilia boucardi,-85.6597459,10.5874972
eBird,Amazilia boucardi,-85.057178,10.132098
eBird,Amazilia boucardi,-83.4335983,8.6422923
eBird,Amazilia boucardi,-84.223823,9.475922
eBird,Amazilia boucardi,-83.480778,8.678631
eBird,Amazilia boucardi,-84.645355,9.80132
eBird,Amazilia boucardi,-84.9011236,10.0292325
eBird,Amazilia boucardi,-83.3393287,8.5507523
eBird,Amazilia boucardi,-83.338929,8.5503524
eBird,Amazilia boucardi,-84.6074252,9.8201891
eBird,Amazilia boucardi,-84.218629,9.484098
eBird,Amazilia boucardi,-84.213894,9.484077
eBird,Amazilia boucardi,-84.7352777,9.9622839
eBird,Amazilia boucardi,-84.7356196,9.9619804
eBird,Amazilia boucardi,-83.632408,8.7052642
eBird,Amazilia boucardi,-84.5631412,9.8303406
eBird,Amazilia boucardi,-84.7822559,9.9837828
eBird,Amazilia boucardi,-83.4039733,8.578225
eBird,Amazilia boucardi,-83.400665,8.594369
eBird,Amazilia boucardi,-84.9806824,9.7553285
eBird,Amazilia boucardi,-83.511157,8.6952388
eBird,Amazilia boucardi,-83.4018431,8.5256141
eBird,Amazilia boucardi,-83.660722,9.08169
eBird,Amazilia boucardi,-84.7151977,9.9290546
eBird,Amazilia boucardi,-84.714455,9.925466
eBird,Amazilia boucardi,-83.6472191,9.088996
eBird,Amazilia boucardi,-83.169992,8.62287
eBird,Amazilia boucardi,-85.2342562,10.2123108
eBird,Amazilia boucardi,-83.155819,8.60619
eBird,Amazilia boucardi,-83.6188772,9.0355771
eBird,Amazilia boucardi,-83.618954,9.035482
eBird,Amazilia boucardi,-84.241491,9.485802
eBird,Amazilia boucardi,-83.3014033,8.5400239
eBird,Amazilia boucardi,-85.01949,9.723265
eBird,Amazilia boucardi,-84.6256,9.778083
eBird,Amazilia boucardi,-84.622953,9.781067
eBird,Amazilia boucardi,-85.732485,10.518828
eBird,Amazilia boucardi,-84.6566474,9.6549138
eBird,Amazilia boucardi,-85.732583,10.51902
eBird,Amazilia boucardi,-83.3067026,8.5405033
eBird,Amazilia boucardi,-85.790961,10.440295
eBird,Amazilia boucardi,-83.299392,8.539589
eBird,Amazilia boucardi,-83.4349394,8.6393535
eBird,Amazilia boucardi,-84.32537,9.493341
eBird,Amazilia boucardi,-83.487348,8.704876
eBird,Amazilia boucardi,-85.2652148,9.7704855
eBird,Amazilia boucardi,-84.7075697,9.9306433
eBird,Amazilia boucardi,-84.6261191,9.7783807
eBird,Amazilia boucardi,-83.361968,8.560372
eBird,Amazilia boucardi,-84.6155566,9.7571812
eBird,Amazilia boucardi,-83.330628,8.698138
eBird,Amazilia boucardi,-84.626149,9.778423
eBird,Amazilia boucardi,-84.6251965,9.7806644
eBird,Amazilia boucardi,-83.3303833,8.6995121
eBird,Amazilia boucardi,-83.3308268,8.6986008
eBird,Amazilia boucardi,-83.330752,8.698149
eBird,Amazilia boucardi,-83.7256324,9.1516032
eBird,Amazilia boucardi,-83.1214385,8.5473009
eBird,Amazilia boucardi,-83.4840345,8.7021267
eBird,Amazilia boucardi,-83.6096478,8.8077253
eBird,Amazilia boucardi,-83.6735997,8.6940423
eBird,Amazilia boucardi,-83.3452892,8.5727039
eBird,Amazilia boucardi,-83.3607483,8.5756167
eBird,Amazilia boucardi,-82.9759524,8.5458965
eBird,Amazilia boucardi,-84.62958,9.781961
eBird,Amazilia boucardi,-84.6389686,9.7876543
eBird,Amazilia boucardi,-83.4760147,8.6187631
eBird,Amazilia boucardi,-84.635216,9.791488
eBird,Amazilia boucardi,-84.632977,9.782977
eBird,Amazilia boucardi,-83.6117077,8.8082342
eBird,Amazilia boucardi,-83.2899073,8.5137438
eBird,Amazilia boucardi,-85.070265,10.145944
eBird,Amazilia boucardi,-83.651365,9.064763
eBird,Amazilia boucardi,-83.563074,8.935437
eBird,Amazilia boucardi,-83.470732,8.8664465
eBird,Amazilia boucardi,-84.716043,9.930066
eBird,Amazilia boucardi,-83.3100246,8.5449727
eBird,Amazilia boucardi,-83.309418,8.5443686
eBird,Amazilia boucardi,-83.2986376,8.5366744
eBird,Amazilia boucardi,-85.0064691,9.7436797
eBird,Amazilia boucardi,-85.0090605,9.7429669
eBird,Amazilia boucardi,-85.028877,9.742235
eBird,Amazilia boucardi,-83.3972061,8.5868239
eBird,Amazilia boucardi,-83.309815,8.5446833
eBird,Amazilia boucardi,-84.9134535,10.0446403
eBird,Amazilia boucardi,-84.6394014,9.7883501
eBird,Amazilia boucardi,-85.650964,10.589803
eBird,Amazilia boucardi,-85.2621034,9.7817366
eBird,Amazilia boucardi,-85.2813587,9.7938928
eBird,Amazilia boucardi,-85.2628112,9.7765776
eBird,Amazilia boucardi,-84.6042538,9.7733479
eBird,Amazilia boucardi,-85.484099,10.635168
eBird,Amazilia boucardi,-84.6265268,9.7771119
eBird,Amazilia boucardi,-84.6257544,9.7776194
eBird,Amazilia boucardi,-85.6709871,10.5794129
eBird,Amazilia boucardi,-84.7088153,9.9223601
eBird,Amazilia boucardi,-83.294573,8.534521
eBird,Amazilia boucardi,-84.1369858,9.3923082
eBird,Amazilia boucardi,-84.99095,9.747603
eBird,Amazilia boucardi,-83.4722242,8.8593083
eBird,Amazilia boucardi,-84.6182013,9.7977921
eBird,Amazilia boucardi,-84.991796,9.750297
eBird,Amazilia boucardi,-84.6442723,9.8086507
eBird,Amazilia boucardi,-83.474091,8.691998
eBird,Amazilia boucardi,-84.978751,9.756037
eBird,Amazilia boucardi,-84.6471584,9.6279146
eBird,Amazilia boucardi,-84.212837,9.493173
eBird,Amazilia boucardi,-83.338071,8.550229
eBird,Amazilia boucardi,-83.9446838,9.3143648
eBird,Amazilia boucardi,-84.715642,9.929899
eBird,Amazilia boucardi,-84.655145,9.815053
eBird,Amazilia boucardi,-84.9790586,9.7560868
eBird,Amazilia boucardi,-84.9109697,10.0355727
eBird,Amazilia boucardi,-84.7437337,9.9722379
eBird,Amazilia boucardi,-84.7354192,9.9621224
eBird,Amazilia boucardi,-84.9422979,10.0594799
eBird,Amazilia boucardi,-83.476004,8.688865
eBird,Amazilia boucardi,-83.3280611,8.524566
eBird,Amazilia boucardi,-84.8319154,9.9752752
eBird,Amazilia boucardi,-83.473412,8.8614257
eBird,Amazilia boucardi,-84.828553,9.983411
eBird,Amazilia boucardi,-83.1442591,8.5385482
eBird,Amazilia boucardi,-84.6357362,9.7864484
eBird,Amazilia boucardi,-83.1406769,8.5372076
eBird,Amazilia boucardi,-84.6305202,9.7767248
eBird,Amazilia boucardi,-84.8500176,9.9773508
eBird,Amazilia boucardi,-84.642387,9.6267889
eBird,Amazilia boucardi,-84.985644,9.748558
eBird,Amazilia boucardi,-85.2475277,10.2440517
eBird,Amazilia boucardi,-83.2992431,8.5386436
eBird,Amazilia boucardi,-84.643362,9.810435
eBird,Amazilia boucardi,-84.6256408,9.7782044
eBird,Amazilia boucardi,-83.4691057,8.8690496
eBird,Amazilia boucardi,-84.9900677,9.7493867
eBird,Amazilia boucardi,-84.267595,9.499491
eBird,Amazilia boucardi,-83.3304774,8.703915
eBird,Amazilia boucardi,-85.0130439,9.7443128
eBird,Amazilia boucardi,-84.6259384,9.7784443
eBird,Amazilia boucardi,-84.6203341,9.6285472
eBird,Amazilia boucardi,-82.975887,8.549429
eBird,Amazilia boucardi,-84.6079445,9.7710641
eBird,Amazilia boucardi,-85.197376,10.367982
eBird,Amazilia boucardi,-84.717634,9.930717
eBird,Amazilia boucardi,-84.1667707,9.4469089
eBird,Amazilia boucardi,-84.629602,9.7706321
eBird,Amazilia boucardi,-85.0971374,10.0989845
eBird,Amazilia boucardi,-84.929591,9.789549
eBird,Amazilia boucardi,-83.6514983,9.068513
eBird,Amazilia boucardi,-84.927095,9.830332
eBird,Amazilia boucardi,-84.9478243,10.0692265
eBird,Amazilia boucardi,-84.625497,9.77742
eBird,Amazilia boucardi,-83.4324916,8.4402554
eBird,Amazilia boucardi,-85.2079164,9.7270756
eBird,Amazilia boucardi,-84.991442,9.750393
eBird,Amazilia boucardi,-82.9819911,8.5870039
eBird,Amazilia boucardi,-83.94462,9.31478
eBird,Amazilia boucardi,-84.98151,9.749699
eBird,Amazilia boucardi,-84.8994832,9.8280311
eBird,Amazilia boucardi,-83.2946792,8.5315395
eBird,Amazilia boucardi,-83.3101416,8.526446
eBird,Amazilia boucardi,-83.3018,8.5396
eBird,Amazilia boucardi,-83.299816,8.539473
eBird,Amazilia boucardi,-83.623472,8.790443
eBird,Amazilia boucardi,-84.297942,9.487221
eBird,Amazilia boucardi,-85.2085,9.7271
eBird,Amazilia boucardi,-84.9788241,9.7561473
eBird,Amazilia boucardi,-83.4626203,8.643944
eBird,Amazilia boucardi,-84.6334013,9.7851027
eBird,Amazilia boucardi,-83.9956221,9.335742
eBird,Amazilia boucardi,-84.71671,9.929956
eBird,Amazilia boucardi,-84.978764,9.756064
eBird,Amazilia boucardi,-84.70676,9.931376
eBird,Amazilia boucardi,-84.3254364,9.4923686
eBird,Amazilia boucardi,-84.325277,9.493365
eBird,Amazilia boucardi,-85.844173,10.342246
